device_identifier,data_point_name,data_point_identifier,device_name
RC04N00,kind label cmd point mode writeble,TUC.245.76.R7,thermostat
RC04N0041,kind point cmd writeble send label,TUC.245.76.R18,thermostat
RC04N0041,his kind keepalive writeble cmd label point onoff,TUC.245.76.R6,thermostat
RC04N0041,his keepalive min label sensor kind point unit threshold factor temp unit-symbol max,TUC.245.76.R0,thermostat
RC04N0041,cmd his writeble label kind fan point keepalive,TUC.245.76.R9,thermostat
RC04N0041,keepalive label kind writeble unit-symbol unit sp point his,TUC.245.76.R8,thermostat
RC04N0041,cmd lockout,TUC.245.76.R19,thermostat
RC04N0041,unit-symbol writeble sp unit point max kind label,TUC.245.76.R15,thermostat
RC04N0041,point label kind his sensor occ keepalive,TUC.245.76.R4,thermostat
RC04N0041,param delay,TUC.245.76.R17,thermostat
RC04N0041,min point kind unit label writeble sp unit-sympbol,TUC.245.76.R14,thermostat
RC04N0042,kind label cmd point mode writeble,TUC.245.76.R107,thermostat
RC04N0042,cmd lockout,TUC.245.76.R119,thermostat
RC04N0042,param delay,TUC.245.76.R117,thermostat
RC04N0042,kind point cmd writeble send label,TUC.245.76.R118,thermostat
RC04N0042,his kind keepalive writeble cmd label point onoff,TUC.245.76.R106,thermostat
RC04N0042,his keepalive min label sensor kind point unit threshold factor temp unit-symbol max,TUC.245.76.R100,thermostat
RC04N0042,unit-symbol writeble sp unit point max kind label,TUC.245.76.R115,thermostat
RC04N0042,point label kind his sensor occ keepalive,TUC.245.76.R104,thermostat
RC04N0042,min point kind unit label writeble sp unit-sympbol,TUC.245.76.R114,thermostat
RC04N0042,cmd his writeble label kind fan point keepalive,TUC.245.76.R109,thermostat
RC04N0042,keepalive label kind writeble unit-symbol unit sp point his,TUC.245.76.R108,thermostat
RC04N0043,his kind keepalive writeble cmd label point onoff,TUC.245.76.R86,thermostat
RC04N0043,cmd his writeble label kind fan point keepalive,TUC.245.76.R89,thermostat
RC04N0043,point label kind his sensor occ keepalive,TUC.245.76.R84,thermostat
RC04N0043,his keepalive min label sensor kind point unit threshold factor temp unit-symbol max,TUC.245.76.R80,thermostat
RC04N0043,cmd lockout,TUC.245.76.R99,thermostat
RC04N0043,unit-symbol writeble sp unit point max kind label,TUC.245.76.R95,thermostat
RC04N0043,keepalive label kind writeble unit-symbol unit sp point his,TUC.245.76.R88,thermostat
RC04N0043,param delay,TUC.245.76.R97,thermostat
RC04N0043,kind label cmd point mode writeble,TUC.245.76.R87,thermostat
RC04N0043,kind point cmd writeble send label,TUC.245.76.R98,thermostat
RC04N0043,min point kind unit label writeble sp unit-sympbol,TUC.245.76.R94,thermostat
RC04N0044,kind point cmd writeble send label,TUC.245.76.R78,thermostat
RC04N0044,his kind keepalive writeble cmd label point onoff,TUC.245.76.R66,thermostat
RC04N0044,point label kind his sensor occ keepalive,TUC.245.76.R64,thermostat
RC04N0044,his keepalive min label sensor kind point unit threshold factor temp unit-symbol max,TUC.245.76.R60,thermostat
RC04N0044,cmd lockout,TUC.245.76.R79,thermostat
RC04N0044,min point kind unit label writeble sp unit-sympbol,TUC.245.76.R74,thermostat
RC04N0044,cmd his writeble label kind fan point keepalive,TUC.245.76.R69,thermostat
RC04N0044,unit-symbol writeble sp unit point max kind label,TUC.245.76.R75,thermostat
RC04N0044,param delay,TUC.245.76.R77,thermostat
RC04N0044,keepalive label kind writeble unit-symbol unit sp point his,TUC.245.76.R68,thermostat
RC04N0044,kind label cmd point mode writeble,TUC.245.76.R67,thermostat
RC04N0045,kind point cmd writeble send label,TUC.245.76.R58,thermostat
RC04N0045,his kind keepalive writeble cmd label point onoff,TUC.245.76.R46,thermostat
RC04N0045,cmd his writeble label kind fan point keepalive,TUC.245.76.R49,thermostat
RC04N0045,his keepalive min label sensor kind point unit threshold factor temp unit-symbol max,TUC.245.76.R40,thermostat
RC04N0045,unit-symbol writeble sp unit point max kind label,TUC.245.76.R55,thermostat
RC04N0045,cmd lockout,TUC.245.76.R59,thermostat
RC04N0045,kind label cmd point mode writeble,TUC.245.76.R47,thermostat
RC04N0045,param delay,TUC.245.76.R57,thermostat
RC04N0045,keepalive label kind writeble unit-symbol unit sp point his,TUC.245.76.R48,thermostat
RC04N0045,min point kind unit label writeble sp unit-sympbol,TUC.245.76.R54,thermostat
RC04N0045,point label kind his sensor occ keepalive,TUC.245.76.R44,thermostat
RC04N0046,min point kind unit label writeble sp unit-sympbol,TUC.245.76.R34,thermostat
RC04N0046,unit-symbol writeble sp unit point max kind label,TUC.245.76.R35,thermostat
RC04N0046,kind point cmd writeble send label,TUC.245.76.R38,thermostat
RC04N0046,keepalive label kind writeble unit-symbol unit sp point his,TUC.245.76.R28,thermostat
RC04N0046,his kind keepalive writeble cmd label point onoff,TUC.245.76.R26,thermostat
RC04N0046,cmd his writeble label kind fan point keepalive,TUC.245.76.R29,thermostat
RC04N0046,his keepalive min label sensor kind point unit threshold factor temp unit-symbol max,TUC.245.76.R20,thermostat
RC04N0046,param delay,TUC.245.76.R37,thermostat
RC04N0046,cmd lockout,TUC.245.76.R39,thermostat
RC04N0046,kind label cmd point mode writeble,TUC.245.76.R27,thermostat
RC04N0046,point label kind his sensor occ keepalive,TUC.245.76.R24,thermostat
RC04N0047,keepalive label kind writeble unit-symbol unit sp point his,TUC.245.76.R188,thermostat
RC04N0047,kind label cmd point mode writeble,TUC.245.76.R187,thermostat
RC04N0047,unit-symbol writeble sp unit point max kind label,TUC.245.76.R195,thermostat
RC04N0047,param delay,TUC.245.76.R197,thermostat
RC04N0047,cmd his writeble label kind fan point keepalive,TUC.245.76.R189,thermostat
RC04N0047,his keepalive min label sensor kind point unit threshold factor temp unit-symbol max,TUC.245.76.R180,thermostat
RC04N0047,kind point cmd writeble send label,TUC.245.76.R198,thermostat
RC04N0047,cmd lockout,TUC.245.76.R199,thermostat
RC04N0047,point label kind his sensor occ keepalive,TUC.245.76.R184,thermostat
RC04N0047,min point kind unit label writeble sp unit-sympbol,TUC.245.76.R194,thermostat
RC04N0047,his kind keepalive writeble cmd label point onoff,TUC.245.76.R186,thermostat
RC04N0048,cmd lockout,TUC.245.76.R299,thermostat
